1,"The password is ""Muiriel"".",«Muiriel» 'oH pegh mu''e'.
2,I will be back soon.,tugh jIcheghta'.
3,I was in the mountains.,HuDmeyDaq jIHtaH.
4,Is it a recent picture?,qen mIlloghvam qonlu''a'?
5,You are in my way.,chobottaH.
6,I miss you.,qaHutlh.
7,I'll call them tomorrow when I come back.,wa'leS jIcheghDI' chaH vIrI'.
8,You should sleep.,bIQongnIS.
9,Most people think I'm crazy.,jImaw' 'e' luHar HochHom.
10,Most people think I'm crazy.,jImaw' 'e' Qub HochHom.
11,No I'm not; you are!,ghobe'. jIHbe'. SoH'e'!
12,Hurry up.,tugh!
13,Hurry up.,yImoD!
14,Hurry up.,pemoD!
15,It doesn't surprise me.,mumerbe'.
16,I'm gonna shoot him.,ghaHvaD jIbach.
17,It would be something I'd have to program.,vay''e' vIghunnISbogh 'oH.
18,"I'd be unhappy, but I wouldn't kill myself.",vaj jIQuchHa' 'ach jIHoH'eghbe'.
19,Why do you ask?,qatlh bIghel?
20,This is not important.,potlhbe' 'oH.
21,You can do it.,Data'chu'laH!
22,"Even though he apologized, I'm still furious.","tlhIjpu', 'ach jIQay'taH."
23,No one will know.,Sov pagh.
24,I can only wait.,jIloSlaH neH.
25,I love you.,qamuSHa'.
26,I don't like you anymore.,qaparHa'choHpu'.
27,Congratulations!,qaHoy'.
28,How could I be a robot? Robots don't dream.,qatlh qoq jIHbej? najbe' qoq.
29,You're not fast enough.,yapbe' DolIj!
30,I don't speak Japanese.,nIpon Hol vIjatlhbe'.
31,A rolling stone gathers no moss is a proverb.,roltaHbogh naghDaq vI'be' tI. vIttlhegh 'oH mu'tlheghvam'e'.
32,"If you see a mistake, then please correct it.",Qagh Daleghchugh vaj 'oH yIlughmoH.
33,"Why aren't you going? ""Because I don't want to.""",«qatlh bIjeSbe'?» «jIjeS vIneHbe'.»
34,That's a good idea!,QaQ qechvam!
35,Damn! It's not bad!,ghuy'! qabbe'!
36,Do whatever he tells you.,ra'DI' yIlob!
37,What do you want?,nuqneH?
38,Paris is the most beautiful city in the world.,qo'Daq veng'e' vIraS mon 'IH law' Hoch 'IH puS.
39,"Thanks, that's all.",qatlho'. pItlh.
40,Italy is a very beautiful country.,Sep 'IHqu' 'oH 'Italya''e'.
41,It's not my fault!,pIch vIghajbe'!
42,Where are the showers?,nuqDaq bIH bIQ ghaywI' pa'mey'e'?
43,I have lost my wallet.,Huch buqwIj vIchIlpu'.
